"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-386","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,4.2,1.05,9,2.25,13.2,3.3,0,38.9,IV
"TMe-387","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","450-600","Green purple","Green purple","2","Long (25-30cm)","Absent","Absent","Irregular",6,2,7.4,2.46666666666667,6,2,13.4,4.46666666666667,0,35,IV
"TMe-388","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",12,3,11,2.75,13.2,3.3,24.2,6.05,3,37.6,IV
"TMe-390","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",16,8,16,8,19.4,9.7,35.4,17.7,0,35.5,V
"TMe-391","Green purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","3","750-900","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",10,3.33333333333333,16,5.33333333333333,14.8,4.93333333333333,30.8,10.2666666666667,0,33.4,V
"TMe-394","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","1","150-300","Dark green","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",2,1,0.2,0.1,0.4,0.2,0.6,0.3,0,42.1,IV
"TMe-396","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",18,4.5,10,2.5,11.6,2.9,21.6,5.4,0,43,IV
"TMe-399","Green purple","Long","Green purple","Top part","<100% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",25,6.25,22.2,5.55,42,10.5,64.2,16.05,0,38.5,V
"TMe-402","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","3","Long (25-30cm)","Short","Present","Irregular",13,6.5,1,0.5,2.2,1.1,3.2,1.6,0,29.4,V
"TMe-403","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","1","Cream","2","450-600","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",3,1.5,2.6,1.3,3.4,1.7,6,3,1,39.5,IV
"TMe-404","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Green purple","Dark green","3","Long (25-30cm)","Absent","Present","Irregular",17,5.66666666666667,10,3.33333333333333,16.6,5.53333333333333,26.6,8.86666666666667,1,40.4,II
"TMe-405","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Irregular",13,3.25,10.2,2.55,7.8,1.95,18,4.5,2,45.6,III
"TMe-406","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",7,3.5,6,3,8,4,14,7,1,40.7,V
"TMe-407","Dark green","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","2","450-600","Green","Green purple","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",24,4.8,10,2,11.2,2.24,21.2,4.24,4,33.4,I
"TMe-409","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","Cream","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",13,4.33333333333333,8,2.66666666666667,10,3.33333333333333,18,6,2,40.9,II
"TMe-410","Green purple","Medium","Green purple","Top part","25-50% leaf retention","1","White","1","150-300","Purple","Light green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,1,0.2,0.2,0.2,0.2,0.4,0.4,0,34.4,I
"TMe-412","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",21,4.2,25,5,26.6,5.32,51.6,10.32,2,39,V
"TMe-414","Purple","Long","Green purple","Central part","50-75% leaf retention","1","Cream","2","450-600","Purple","Dark green","2","Long (25-30cm)","Absent","Absent","Irregular",5,5,1.4,1.4,8,8,9.4,9.4,0,36.6,V
